Date,Time,Location,Operator,Flight,Route,ACType,Registration,cn/ln,Aboard,AboardPassangers,AboardCrew,Fatalities,FatalitiesPassangers,FatalitiesCrew,Ground,Summary
1/19/1930,18:23,"Oceanside,California",MadduxAirlines,7,"AquaCaliente,Mexico-LosAngeles",Ford5-AT-CTriMotor,NC9689,5-AT-046,16,14,2,16,14,2,0,"WhileenroutetoLosAngeles,thepilot,flyingalowaltitudeduetopoorweatherconditionstriedtoturnback.Whileinaleftturnhisleftwingstruckahill,crashedandburned.Adverseweatherconditions.Theplaneflewintoasuddensquallwhichcausethepilottolosecontrol."
3/31/1931,10:45,"Bazaar,Kansas",TransContinentalandWesternAir,599,KansasCity-Wichita-LosAngeles,FokkerF10ATrimotor,NC-999,1063,8,6,2,8,6,2,0,"ShortlyaftertakingofffromKansasCity,oneoftheaircraft'swing'sseparatedinflightafterpenetratingathunderstormandexperiencingstrongturbulenceandicing.Theplanecrashedintoawheatfield.Wing-aileronflutter,broughtaboutbymoistureleakingintothewing'sinterior,weakeningthegluethatbondedthewoodenspars.NotreDamefootballcoach,KnuteRockne,43,killed."
8/31/1934,22:45,"Amazonia,Missouri",RapidAirTransport,6,KansasCity-SaintJoseph-Omaha,StinsonSM-6000B,NC11118,5004,5,4,1,5,4,1,0,Theplanecrashedabout11milesfromSt.Josephinheavyfog.Piloterrorintakingoffindangerousweatherconditionsandturningtooclosethethegroundinafog-boundarea.Inaccurateweatherconditionsreportedtothepilot.
05-06-1935,3:30,"Atlanta,Missouri",TransContinentalandWesternAir,6,LosAngeles-Albuquerque-KanasasCity-Washington,DouglasDC-2-112,NC13785,1295,14,12,2,5,3,2,0,"TheplanecrashedwhileenroutefromAlbuquerquetoKansasCity.Afterencounteringfogandpoorvisibility,theplanewasdivertedtoKirksvillewherewitnessesreportedthelowflyingaircraftmadecontactwiththegroundandcrashed.Whethertheplanestruckthegroundwhilethepilotwasattemptingtomakeanemergencylandingorbecausetheavailablefuelsupplyhadbeenexhausted,orforotherreasons,couldnotbedetermined.NewMexicoSenatorBronsonM.Cutting,46,killed.ImproperclearanceoftheairplanefromAlbuquerquebythecompany'sgroundpersonnelwhentheplane'stwo-wayradiowasnotfunctioningproperly."
8/14/1935,23:45,"NearGilmer,Texas",DeltaAirLines,4,Dallas-Atlanta,StinsonModelA,NC14599,9103,4,3,1,4,3,1,0,Crashed3milessouthofGilmer.Theoutboardengineseparatedfromtheaircraftafterapropellerbladebrokeoffresultinginanimbalancedconditionwhichledtolossofcontroloftheaircraft.
10-07-1935,2:19,"NearCheyenne,Wyoming",UnitedAirLines,4,SaltLakeCity-Cheyenne,Boeing247D,NC13317,1698,12,9,3,12,9,3,0,"Whileflyinginanormal,slightlydescendingpath,theaircraftfirstcollidedwiththegroundjustafewfeetbelowthetopofasmallknolltearingoutbothenginesandenginenacelles.Itthenreboundedandcontinuedthroughtheairforadistanceof1,120feet,whereitcametorest.Erroronthepartofthepilotinexecutinganabruptmaneuverwithinsufficientaltitudeforsafetyandfailureofthepilottomaintainpropercontroloftheaircraftduringthismaneuver."
1/14/1936,19:32,"Goodwin,Arkansas",AmericanAirlines,1,Newark-Memphis-LittleRock-Dallas-LosAngeles,DouglasDC-2-120,NC14274,1307,17,14,3,17,14,3,0,"Flewintotreesanddisintegrated.Thecauseofthecrashcouldnotbedetermined.Possiblecausesinclude,passengerinterference,onefueltankrunningdry,flyingtoolowandtheco-pilotaloneatthecontrols."
04-07-1936,10:20,"Uniontown,Pennsylvania",TransContinentalandWesternAir,1,Newark-LosAngeles,DouglasDC-2-112,NC13721,1247,14,11,3,12,10,2,0,"CrashedintoChestnutRidgeinfog.Thepoorjudgmentonthepartofthepilotforflyingbyvisualgroundobservationmethodsafterhavingdescendedthroughthecloudsandovercastinmountainousterrainatapointunknowntohim.Becauseofcloudsandpoorvisibility,thisrequiredflyingclosetothegroundwhereasthesafestmethodundersuchcircumstanceswastoclimbintoorabovetheovercasttoasafealtitudeanddeterminethelocationoftheplanebyinstrumentsandradio."
08-05-1936,22:00,"St.Louis,Missouri",ChicagoSouthernAirlines,4,NewOrleans-Chicago,Lockheed10BElectra,NC16022,1057,8,6,2,8,6,2,0,"CrashedwhileattemptingtotakeofffromLambertField.Themakingofaturnatanextremelylowaltitude,forreasonsunknown,inwhichthewingoftheairplaneunintentionallycontactedtheground."
12/15/1936,3:14,"NearSaltLakeCity,Utah",WesternAirExpress,6,Burbank-LasVegas-SaltLakeCity,Boeing247D,NC13370,1957,7,4,3,7,4,3,0,CrashedintoLonePeakwhileattemptingtolandatSaltLake.InabilityofthepilotstoidentifythesouthlegoftheSaltLakeradiorangeduetoalocalstaticconditionwhichrenderedbothrangereceiversintheairplaneinoperative.
12/19/1936,20:47,"NearMilford,Pennsylvania",EasternAirLines,14,Miami-Charleston-Newark,DouglasDC-2-112,NC13732,1258,11,8,3,0,0,0,0,"CrashedintotreesinpoorweatherwhileattemptingtolandatNewark.Erroronthepartofthepilotforattemptingtogetdownundertheovercastwithoutfirstdefinitelyprovinghisposition.Improperdispatchingforclearingtheflightintoanareaofpredictedbadweather,particularlywhentheareaclearedthroughdidnotpermitasafereturn,andstaticconditionsencounteredwhichrenderedreceptionoftheradiorangesignalsovertheairplane'srangereceiversunintelligible."
12/27/1936,19:38,"Newhall,California",UnitedAirLines,34,Oakland-SanFrancisco-LosAngeles,Boeing247D,NC13355,1737,12,10,2,12,10,2,0,"WhileonapproachtoBurbankAirport,theairlinercrashedintoRiceCanyon,justsouthofNewhall.Itwasrainingwithpoorvisibility.Theaircraftflewintoahillloosingitswings,continuedwithoutwingsacrossRiceCanyonandstruckagainstarockywallofabluffanddroppedoverahundredfeettothebottomofthecanyon.ErroronthepartofthepilotinattemptingtoflythroughtheNewhallpassatanaltitudelowerthanthesurroundingmountainswithoutfirstdeterminingbyradio,theexistingweather."
01-12-1937,11:07,"NearNewhall,California",WesternAirExpress,7,SaltLakeCity-Burbank,Boeing247D,NC13315,1696,13,11,2,5,4,1,0,"TheaircraftcrashedintoPinetosPeak,4milessoutheastofNewhallwhileattemptingtolandatBurbankAirportinfogandrain.Thepilotdescendedtoadangerouslylowaltitudewithoutpositiveknowledgeofhisposition.Africanexplorer,MartinJohnson,52,killed.Johnsonsufferedafracturedskullinthecrashanddiedthenextdayinahospital."
02-09-1937,20:50,"OffSanFrancisco,California",UnitedAirLines,23,LosAngeles-SanFrancisco-Oakland,DouglasDC-3A,NC16073,1913,11,9,2,11,9,2,0,"TheaircraftcrashedintoSanFranciscoBay,approximately2milesoffshore,whileonapproach.Theaccidentaljammingoftheelevatorcontrolsastheresultoftheco-pilot'smicrophonebeinginadvertentlydroppedandlodgedbetweentheelevatorcontrolcolumnandtheseatrailinsuchawaythatthecrewwasunabletopreventrapiddescentoftheairplane.FirstaccidentinvolvingaDC-3."
3/25/1937,18:40,"Clifton,Pennsylvania",TransContinentalandWesternAir,15A,Newark-Camden-Pittsburg,DouglasDC-2-112,NC13730,1256,13,10,3,13,10,3,0,Whileattemptingtolandtheaircraftbankedleftandcrashedshortoftherunway.Heavyicingwhichrenderedtheplaneuncontrollable.
05-06-1937,19:25,"Lakehurst,NewJersey",DeutscheZeppelinReederei,LZ129,Frankfurt-LakehurstN.J.,ZeppelinLZ-129,D-LZ-129,D-LZ129,97,36,61,35,13,22,1,"TheairshipHindenburgcaughtfireandburnedwhilebeingmooredatLakehurst,NewJersey.Possiblecauseswerestaticdischargewhichignitedleakinghydrogenorsabotage.Ithasbeentheorizedthatasuddenturnjustbeforelandingcausedasteelcabletosnapwhichpuncturedoneofthehydrogenairbags.Thereafter,whenmooringropesweredroppedtotheground,thecagewasdischargedsettingupastaticdischargebetweentheHindenburg'souterskinandframecausingthehydrogentoignite."
08-10-1937,4:40,"DaytonaBeach,Florida",EasternAirLines,7,Chicago-Daytona,DouglasDC-2,NC-13739,1289,9,7,2,4,2,2,0,TheplanestruckapowerpolewhiletakingofffromDaytonaandcrashedtotheground600feetfromthefirstpointofimpact.Theabsenceofreasonablenoticetothoseoperatingandnavigatingtheaircraftthatanobjecthadbeenerectedwhichconstitutedahazardtotheaircrafttakingoff.
10/17/1937,21:00,"HaydensPeak,Wyoming",UnitedAirLines,1,Newark-Chicago-Cheyenne-SaltLakeCity-LosAngeles,DouglasDC-3,NC16074,1914,19,16,3,19,16,3,0,"Theplanecrashedintothesideofamountain(HumpyRidge)inlevelflightat10,000ft.underadverseweatherconditions.Staticconditionsencounteredinthelastportionoftheflightwhichrenderedthereceptionofradiorangesignalsunintelligible.Thecontinuationoftheflightintomountainouscountryatanaltitudebelowofhighermountainswithouttheaidofgroundvisibilityorradiosignalstodefinitelyidentifyposition.Achangeintheweathercausedbytheapproachofanunpredictedcoldfront."
01-10-1938,15:07,"Bozeman,Montana",NorthwestOrientAirlines,2,Seattle-Spokane-Butte-Billings-Chicago,Lockheed14HSuperElectra,NC-17388,1407,10,8,2,10,8,2,0,"Theaircraftcrashed12milesnortheastofBozemanafterexperiencingstructuralfailureofthetail.Therewassevereturbulencereportedintheareaatthetimeoftheaccident.Thestructuralfailureoftheupperverticalfinsandruddersduetoflutter""naturalresonance,orperiodofvibration""whichresultedintheseparationoftherudderandfinsandlossofcontroloftheaircraft."
01-11-1938,8:03,"PagoPago,U.S.Samoa",PanAmericanWorldAirways,1,Oakland-Honolulu-KingmanReef-PagoPago-Auckland,SikorskyS-42(flyingboat),NC16734,4207,7,0,7,7,0,7,0,"Theaircraftexplodedinmid-airasthecrewattemptedtodumpfuelforanemergencylandingatPagoPago.Neithertheplaneorsevencrewmemberswereeverfound.Theaircraftwasnamed""SamoanClipper.""PanAmerican'sfirstandchiefpilot,CaptainEdwinC.Musick,killed."
03-01-1938,21:30,"NearWawona,Cailifornia",TransContinentalandWesternAir,8,"SanFrancisco-Winslow,AZ,Burbank,CA",DouglasDC-2-112,NC13789,1299,9,6,3,9,6,3,0,CrashedintothehighSierraafterencounteringasevereweatherfrontwhileenroute.ThepilotradioedthaticewasformingontheDC-2'swingsasitnearedtheTehachapiMountainsnearBakersfieldandthathewasturningbacktowardsthenorthtolandatFresno.Theaircraftshearedoffthetopsofpinetreesandcrashed200feetbelowasummit.Thewreckagewasnotfounduntil6/12/38.
5/24/1938,22:17,"Cleveland,Ohio",UnitedAirLines,9,Newark-Cleveland-Chicago,DouglasDST-A-207A,NC18108,1956,10,7,3,10,7,3,0,AnuncontrollablefiredevelopedintherightengineandthepilotdecidedtomakeanemergencylandingratherthantrytoreachClevelandAirport.Theplanestrucktreesinlevelflight8.5mileseastofClevelandAirport.Afireintherightengineaccessorysectionwhichresultedfromthefailureofacylinderbarrelandwasfedfromtherightengineoilsupply.
07-08-1938,2:56,"Billings,Montana",NorthwestOrientAirlines,4,Seattle-Spokane-Helena-Billings-Fargo,Lockheed14SuperElectra,NC17383,1402,10,8,2,1,1,0,0,"WhiletakingofffromBillings,theairplaneleftthegroundinastalledconditionfromwhichthepilotattemptedtorecoverbyuseoffullemergencypower.Emergencypowerwasnotavailablebecauseofimproperadjustmentofthestopwhichhadbeenplacedonthequadrantofthepropellerpitchcontrollevers,preventingtheleversfromgoingtothefulllowpitchposition.Asaresultofthestalledcondition,theairplanefelloffontherightwingandcrashedatapoint1,100feetbeyondtheNErunway,thepilothavingcuttheswitchjustpriortotheimpact."
7/29/1938,4:11,PacificOceanbetweenManilaandGuam,PanAmericanWorldAirways,229,Alameda-Manila,MartinM-130(flyingboat),NC14714,556,15,6,9,15,6,9,0,"TheplanecrashedintotheoceanwhileenroutebetweenGuamandManilla.Thelastknownpositionwas12.27N,130.40Wor582nmeastsoutheastofManilaat04:00GCT.Causeunknown.TheplanemayhavebeenhijackedbytheJapaneseandflowntoTrukIslandwherethecrewandpassengersweremurdered.Theaircraftwasnamed""HawaiiClipper."""
